Institution,Conference,Division,Reclass Division,State
Central Washington University,Great Northwest Athletic Conference,II,,WA
Chadron State College,Rocky Mountain Athletic Conference,II,,NE
Chaminade University,Pacific West Conference,II,,HI
University of Charleston (West Virginia),Mountain East Conference,II,,WV
Chestnut Hill College,Central Atlantic Collegiate Conference,II,,PA
Cheyney University of Pennsylvania,Pennsylvania State Athletic Conference,II,,PA
Chowan University,Central Intercollegiate Athletic Association,II,,NC
Christian Brothers University,Gulf South Conference,II,,TN
Claflin University,Southern Intercol. Ath. Conf.,II,,SC
Clarion University of Pennsylvania,Pennsylvania State Athletic Conference,II,,PA
Clark Atlanta University,Southern Intercol. Ath. Conf.,II,,GA
Clayton State University,Peach Belt Conference,II,,GA
Coker College,South Atlantic Conference,II,,SC
Colorado Christian University,Rocky Mountain Athletic Conference,II,,CO
Colorado Mesa University,Rocky Mountain Athletic Conference,II,,CO
Colorado School of Mines,Rocky Mountain Athletic Conference,II,,CO
Colorado State University-Pueblo,Rocky Mountain Athletic Conference,II,,CO
"University of Colorado, Colorado Springs",Rocky Mountain Athletic Conference,II,,CO
Columbus State University,Peach Belt Conference,II,,GA
Concord University,Mountain East Conference,II,,WV
Concordia College (New York),Central Atlantic Collegiate Conference,II,,NY
Concordia University Irvine,Pacific West Conference,II,,CA
Concordia University Portland,Great Northwest Athletic Conference,II,,OR
"Concordia University, St. Paul",Northern Sun Intercollegiate Conference,II,,MN
Converse College,Conference Carolinas,II,,SC
Daemen College,East Coast Conference,II,,NY
Dallas Baptist University,Heartland Conference,II,,TX
Davis and Elkins College,Great Midwest Athletic Conference,II,,WV
Delta State University,Gulf South Conference,II,,MS
University of the District of Columbia,East Coast Conference,II,,DC
Dixie State University,Pacific West Conference,II,,UT
Dominican University of California,Pacific West Conference,II,,CA
Dominican College (New York),Central Atlantic Collegiate Conference,II,,NY
Dowling College,East Coast Conference,II,,NY
Drury University,Great Lakes Valley Conference,II,,MO
East Central University,Great American Conference,II,,OK
East Stroudsburg University of Pennsylvania,Pennsylvania State Athletic Conference,II,,PA
Eastern New Mexico University,Lone Star Conference,II,,NM
Eckerd College,Sunshine State Conference,II,,FL
Edinboro University of Pennsylvania,Pennsylvania State Athletic Conference,II,,PA
Elizabeth City State University,Central Intercollegiate Athletic Association,II,,NC
Embry-Riddle Aeronautical University (Florida),Sunshine State Conference,II,,FL
Emmanuel College (Georgia),Conference Carolinas,II,,GA
Emporia State University,Mid-America Intercollegiate Athletics Association,II,,KS
Erskine College,Conference Carolinas,II,,SC
Fairmont State University,Mountain East Conference,II,,WV
Fayetteville State University,Central Intercollegiate Athletic Association,II,,NC
Felician University,Central Atlantic Collegiate Conference,II,,NJ
Ferris State University,Great Lakes Intercollegiate Athletic Conference,II,,MI
University of Findlay,Great Lakes Intercollegiate Athletic Conference,II,,OH
Flagler College,Peach Belt Conference,II,,FL
Florida Institute of Technology,Sunshine State Conference,II,,FL
Florida Southern College,Sunshine State Conference,II,,FL
Fort Hays State University,Mid-America Intercollegiate Athletics Association,II,,KS
Fort Lewis College,Rocky Mountain Athletic Conference,II,,CO
Fort Valley State University,Southern Intercol. Ath. Conf.,II,,GA
Francis Marion University,Peach Belt Conference,II,,SC
Franklin Pierce University,Northeast-10 Conference,II,,NH
Fresno Pacific University,Pacific West Conference,II,,CA
Gannon University,Pennsylvania State Athletic Conference,II,,PA
Georgia College,Peach Belt Conference,II,,GA
Georgia Southwestern State University,Peach Belt Conference,II,,GA
Georgian Court University,Central Atlantic Collegiate Conference,II,,NJ
Glenville State College,Mountain East Conference,II,,WV
Goldey-Beacom College,Central Atlantic Collegiate Conference,II,,DE
Grand Canyon University,Western Athletic Conference,II,I,AZ
Grand Valley State University,Great Lakes Intercollegiate Athletic Conference,II,,MI
Harding University,Great American Conference,II,,AR
University of Hawaii at Hilo,Pacific West Conference,II,,HI
Hawaii Pacific University,Pacific West Conference,II,,HI
Henderson State University,Great American Conference,II,,AR
Hillsdale College,Great Lakes Intercollegiate Athletic Conference,II,,MI
Holy Family University,Central Atlantic Collegiate Conference,II,,PA
Holy Names University,Pacific West Conference,II,,CA
Humboldt State University,California Collegiate Athletic Association,II,,CA
University of Illinois at Springfield,Great Lakes Valley Conference,II,,IL
University of the Incarnate Word,Southland Conference,II,I-FCS,TX
Indiana University of Pennsylvania,Pennsylvania State Athletic Conference,II,,PA
University of Indianapolis,Great Lakes Valley Conference,II,,IN
Johnson C. Smith University,Central Intercollegiate Athletic Association,II,,NC
Kentucky State University,Southern Intercol. Ath. Conf.,II,,KY
Kentucky Wesleyan College,Great Midwest Athletic Conference,II,,KY
King University,Conference Carolinas,II,,TN
Kutztown University of Pennsylvania,Pennsylvania State Athletic Conference,II,,PA
Lake Erie College,Great Lakes Intercollegiate Athletic Conference,II,,OH
Lake Superior State University,Great Lakes Intercollegiate Athletic Conference,II,,MI
Lander University,Peach Belt Conference,II,,SC
Lane College,Southern Intercol. Ath. Conf.,II,,TN
Le Moyne College,Northeast-10 Conference,II,,NY
Lee University,Gulf South Conference,II,,TN
Lees-McRae College,Conference Carolinas,II,,NC
LeMoyne-Owen College,Southern Intercol. Ath. Conf.,II,,TN
Lenoir-Rhyne University,South Atlantic Conference,II,,NC
Lewis University,Great Lakes Valley Conference,II,,IL
Limestone College,Conference Carolinas,II,,SC
Lincoln Memorial University,South Atlantic Conference,II,,TN
Lincoln University (Missouri),Mid-America Intercollegiate Athletics Association,II,,MO
The Lincoln University (Pennsylvania),Central Intercollegiate Athletic Association,II,,PA
